DATE,open NVIDIA,high NVIDIA,low NVIDIA,close NVIDIA,volume NVIDIA,open GOOGLE,high GOOGLE,low GOOGLE,close GOOGLE,volume GOOGLE,date APPLE,open APPLE,high APPLE,low APPLE,close APPLE,volume APPLE
2018-01-02,"$4,84","$4,93","$4,81","$4,93","$8.793.106,00","$52,29","$53,43","$52,29","$53,29","$1.577.388,00",2018-01-02,"$39,89","$40,39","$39,68","$40,38","$23.963.144,00"
2018-01-03,"$5,05","$5,28","$5,04","$5,25","$22.617.248,00","$53,33","$54,43","$53,30","$54,20","$1.555.220,00",2018-01-03,"$40,44","$40,92","$40,31","$40,37","$27.678.237,00"
2018-01-04,"$5,34","$5,39","$5,26","$5,28","$14.422.105,00","$54,48","$54,83","$54,34","$54,41","$1.293.646,00",2018-01-04,"$40,45","$40,66","$40,34","$40,56","$21.036.376,00"
2018-01-05,"$5,30","$5,36","$5,22","$5,33","$14.344.198,00","$54,79","$55,30","$54,71","$55,13","$1.502.164,00",2018-01-05,"$40,66","$41,11","$40,57","$41,02","$22.185.401,00"
2018-01-08,"$5,45","$5,56","$5,40","$5,49","$21.789.078,00","$55,17","$55,57","$55,12","$55,33","$1.223.781,00",2018-01-08,"$40,87","$41,17","$40,77","$40,87","$19.285.908,00"
2018-01-09,"$5,49","$5,53","$5,41","$5,49","$12.288.848,00","$55,54","$55,54","$55,03","$55,26","$1.331.200,00",2018-01-09,"$40,92","$41,04","$40,65","$40,87","$20.238.767,00"
2018-01-10,"$5,40","$5,53","$5,34","$5,53","$14.407.211,00","$54,97","$55,26","$54,82","$55,13","$1.029.554,00",2018-01-10,"$40,59","$40,86","$40,55","$40,86","$22.466.630,00"
2018-01-11,"$5,56","$5,59","$5,52","$5,54","$10.039.695,00","$55,23","$55,36","$54,95","$55,22","$1.113.535,00",2018-01-11,"$40,93","$41,14","$40,90","$41,09","$17.504.228,00"
2018-01-12,"$5,53","$5,56","$5,47","$5,51","$8.899.441,00","$55,12","$56,18","$55,02","$56,15","$1.916.092,00",2018-01-12,"$41,30","$41,58","$41,18","$41,51","$23.833.907,00"
2018-01-16,"$5,54","$5,63","$5,36","$5,44","$17.366.437,00","$56,62","$57,05","$55,95","$56,15","$1.810.611,00",2018-01-16,"$41,70","$42,05","$41,29","$41,30","$27.723.246,00"
2018-01-17,"$5,46","$5,57","$5,36","$5,56","$13.312.870,00","$56,43","$56,58","$55,79","$56,56","$1.381.979,00",2018-01-17,"$41,29","$42,02","$41,04","$41,98","$32.243.644,00"
2018-01-18,"$5,54","$5,60","$5,51","$5,55","$10.104.050,00","$56,58","$56,64","$55,84","$56,41","$1.365.454,00",2018-01-18,"$42,05","$42,22","$41,79","$42,02","$29.249.268,00"
2018-01-19,"$5,64","$5,71","$5,61","$5,69","$15.067.785,00","$56,51","$56,80","$56,24","$56,78","$1.517.092,00",2018-01-19,"$41,87","$42,10","$41,59","$41,83","$30.404.227,00"
2018-01-22,"$5,70","$5,78","$5,64","$5,78","$13.622.793,00","$56,80","$57,94","$56,70","$57,81","$1.467.400,00",2018-01-22,"$41,56","$41,67","$41,40","$41,49","$25.419.045,00"
2018-01-23,"$5,83","$5,93","$5,81","$5,91","$11.750.520,00","$58,13","$58,52","$57,96","$58,41","$1.943.462,00",2018-01-23,"$41,56","$42,06","$41,45","$41,50","$30.651.755,00"
2018-01-24,"$5,91","$5,95","$5,77","$5,83","$14.340.421,00","$58,84","$58,95","$57,97","$58,16","$1.843.711,00",2018-01-24,"$41,55","$41,56","$40,60","$40,84","$47.920.051,00"
2018-01-25,"$5,88","$5,93","$5,83","$5,84","$10.134.799,00","$58,63","$58,84","$58,19","$58,70","$1.488.977,00",2018-01-25,"$40,91","$41,01","$39,98","$40,11","$38.940.713,00"
2018-01-26,"$5,89","$6,02","$5,87","$6,02","$12.767.416,00","$58,97","$58,97","$58,00","$58,97","$2.094.060,00",2018-01-26,"$40,32","$40,32","$39,87","$40,21","$36.703.449,00"
2018-01-29,"$6,00","$6,13","$5,95","$6,10","$11.253.309,00","$58,99","$59,49","$58,80","$58,92","$1.563.920,00",2018-01-29,"$39,89","$39,89","$39,16","$39,37","$47.484.269,00"
2018-01-30,"$5,96","$6,09","$5,89","$6,00","$14.114.444,00","$58,48","$58,99","$58,32","$58,47","$1.854.096,00",2018-01-30,"$38,80","$39,23","$38,61","$39,14","$43.178.247,00"
2018-01-31,"$6,08","$6,16","$6,04","$6,08","$11.833.405,00","$58,79","$58,91","$58,20","$58,71","$1.788.798,00",2018-01-31,"$39,12","$39,49","$39,03","$39,25","$30.454.706,00"
2018-02-01,"$5,90","$6,10","$5,89","$5,95","$12.838.512,00","$58,40","$58,97","$58,07","$58,67","$3.650.530,00",2018-02-01,"$39,19","$39,53","$39,09","$39,33","$44.287.165,00"
2018-02-02,"$5,86","$5,88","$5,72","$5,77","$17.764.962,00","$55,98","$56,18","$55,18","$55,58","$5.851.764,00",2018-02-02,"$38,91","$39,10","$37,53","$37,62","$81.196.821,00"
2018-02-05,"$5,61","$5,77","$5,07","$5,28","$28.811.170,00","$54,65","$55,37","$52,48","$52,76","$4.148.851,00",2018-02-05,"$37,30","$38,42","$36,57","$36,68","$68.205.091,00"
2018-02-06,"$5,05","$5,58","$5,04","$5,58","$27.564.617,00","$51,34","$54,00","$51,15","$53,85","$3.805.279,00",2018-02-06,"$36,30","$38,38","$36,10","$38,22","$63.990.524,00"
2018-02-07,"$5,68","$5,81","$5,61","$5,66","$19.853.636,00","$53,88","$53,95","$52,37","$52,41","$2.579.303,00",2018-02-07,"$38,23","$38,30","$37,29","$37,40","$48.392.136,00"
2018-02-08,"$5,78","$5,82","$5,38","$5,38","$28.286.528,00","$52,63","$52,83","$49,89","$50,04","$3.316.727,00",2018-02-08,"$37,58","$37,74","$36,34","$36,37","$51.000.655,00"
2018-02-09,"$5,89","$5,91","$5,38","$5,74","$41.406.885,00","$50,94","$52,23","$49,51","$51,96","$4.884.286,00",2018-02-09,"$36,97","$37,16","$35,36","$36,81","$66.538.065,00"
